Tournament Results (5000 games, 3-5 players randomly pulled)
-------------------------------------------------------------------------------------
Model Name                | Games  | Win Rate   | Avg Score  | Avg Diff  
-------------------------------------------------------------------------------------
model_gen_16.zip          | 219    |    86.76% |    371.28 |    348.31
model_gen_7_1774545440.zip | 223    |    85.20% |    373.83 |    350.95
model_gen_9.zip           | 250    |    85.20% |    366.52 |    341.27
model_gen_18.zip          | 254    |    81.89% |    364.62 |    338.55
model_gen_17.zip          | 242    |    81.82% |    355.97 |    328.02
model_gen_3.zip           | 233    |    81.55% |    348.48 |    316.74
phase1_model.zip          | 243    |    81.07% |    367.29 |    341.97
model_gen_1.zip           | 214    |    80.84% |    362.22 |    335.24
model_gen_2.zip           | 232    |    79.31% |    366.20 |    340.65
model_gen_8.zip           | 229    |    78.60% |    355.53 |    326.53
model_gen_19.zip          | 237    |    78.48% |    360.23 |    333.72
phase1_model_1774542152.zip | 245    |    75.10% |    347.61 |    315.96
model_gen_44_1774546722.zip | 254    |    69.69% |      0.00 |    -43.51
model_gen_46_1774546730.zip | 220    |    67.27% |      0.00 |    -48.88
model_gen_48_1774546739.zip | 236    |    66.53% |      0.00 |    -48.55
model_gen_12.zip          | 224    |    66.07% |      0.00 |    -47.18
model_gen_12_1774546492.zip | 226    |    65.93% |      0.00 |    -49.23
model_gen_10_1774546484.zip | 224    |    65.18% |      0.00 |    -49.33
final_model.zip           | 237    |    64.98% |      0.00 |    -49.76
model_gen_26_1774546596.zip | 254    |    64.96% |      0.00 |    -50.66
model_gen_13_1774546496.zip | 219    |    64.84% |      0.00 |    -50.12
model_gen_4.zip           | 235    |    64.68% |      0.00 |    -54.28
model_gen_53_1774546894.zip | 237    |    64.56% |      0.00 |    -51.79
model_gen_45_1774546726.zip | 245    |    64.49% |      0.00 |    -54.19
model_gen_5_1774543205.zip | 225    |    64.44% |      0.00 |    -53.24
model_gen_50_1774546754.zip | 245    |    64.08% |      0.00 |    -52.37
model_gen_20.zip          | 222    |    63.96% |      0.00 |    -53.62
model_gen_52_1774546890.zip | 244    |    63.93% |      0.00 |    -50.76
model_gen_10.zip          | 237    |    63.71% |      0.00 |    -55.55
model_gen_15.zip          | 236    |    63.56% |      0.00 |    -53.43
model_gen_7.zip           | 252    |    63.49% |      0.00 |    -51.65
model_gen_43_1774546711.zip | 243    |    63.37% |      0.00 |    -51.12
model_gen_25_1774546592.zip | 245    |    63.27% |      0.00 |    -56.00
model_gen_14_1774546508.zip | 249    |    63.05% |      0.00 |    -52.87
model_gen_23_1774546577.zip | 211    |    63.03% |      0.00 |    -53.25
model_gen_34_1774546649.zip | 235    |    62.98% |      0.00 |    -51.13
model_gen_29_1774546615.zip | 243    |    62.96% |      0.00 |    -54.94
model_gen_5_1774546447.zip | 214    |    62.62% |      0.00 |    -53.72
model_gen_21_1774546563.zip | 227    |    62.56% |      0.00 |    -53.09
model_gen_31_1774546624.zip | 243    |    62.55% |      0.00 |    -52.04
model_gen_6_1774546458.zip | 243    |    62.55% |      0.00 |    -51.73
model_gen_33_1774546638.zip | 248    |    62.50% |      0.00 |    -53.08
model_gen_40_1774546687.zip | 221    |    62.44% |      0.00 |    -52.02
model_gen_20_1774546550.zip | 244    |    62.30% |      0.00 |    -55.02
model_gen_3_1774543187.zip | 256    |    62.11% |      0.00 |    -55.19
model_gen_42_1774546701.zip | 221    |    61.99% |      0.00 |    -53.02
model_gen_27_1774546600.zip | 234    |    61.97% |      0.00 |    -52.93
model_gen_22_1774546567.zip | 244    |    61.89% |      0.00 |    -51.83
model_gen_7_1774546462.zip | 207    |    61.84% |      0.00 |    -50.52
model_gen_1_1774543174.zip | 229    |    61.57% |      0.00 |    -54.57
model_gen_19_1774546540.zip | 236    |    61.44% |      0.00 |    -52.80
model_gen_16_1774546515.zip | 259    |    61.39% |      0.00 |    -57.27
model_gen_6_1774543208.zip | 251    |    61.35% |      0.00 |    -54.96
model_gen_24_1774546581.zip | 222    |    61.26% |      0.00 |    -57.30
model_gen_51_1774546758.zip | 250    |    61.20% |      0.00 |    -57.41
model_gen_49_1774546743.zip | 224    |    61.16% |      0.00 |    -56.45
model_gen_11_1774546488.zip | 221    |    61.09% |      0.00 |    -55.04
model_gen_15_1774546510.zip | 202    |    60.89% |      0.00 |    -55.99
model_gen_4_1774543195.zip | 207    |    60.87% |      0.00 |    -56.79
model_gen_38_1774546679.zip | 232    |    60.78% |      0.00 |    -54.51
model_gen_47_1774546734.zip | 241    |    60.58% |      0.00 |    -55.55
model_gen_3_1774546434.zip | 227    |    60.35% |      0.00 |    -58.32
model_gen_5.zip           | 219    |    60.27% |      0.00 |    -58.76
model_gen_2_1774546430.zip | 241    |    60.17% |      0.00 |    -60.16
model_gen_6.zip           | 240    |    60.00% |      0.00 |    -60.41
model_gen_28_1774546611.zip | 218    |    59.63% |      0.00 |    -59.54
phase1_model_1774545692.zip | 245    |    59.59% |      0.00 |    -58.12
model_gen_8_1774546466.zip | 254    |    59.45% |      0.00 |    -58.25
phase1_model copy.zip     | 245    |    59.18% |      0.00 |    -58.73
model_gen_11.zip          | 229    |    58.52% |      0.00 |    -57.00
model_gen_36_1774546656.zip | 242    |    57.85% |      0.00 |    -62.06
model_gen_39_1774546683.zip | 230    |    57.83% |      0.00 |    -58.04
model_gen_4_1774546438.zip | 239    |    57.74% |      0.00 |    -60.36
model_gen_2_1774543183.zip | 201    |    57.71% |      0.00 |    -60.70
model_gen_35_1774546653.zip | 229    |    57.64% |      0.00 |    -59.27
model_gen_14.zip          | 210    |    57.62% |      0.00 |    -60.22
model_gen_32_1774546634.zip | 259    |    57.14% |      0.00 |    -59.56
model_gen_41_1774546697.zip | 238    |    57.14% |      0.00 |    -62.01
model_gen_37_1774546669.zip | 240    |    57.08% |      0.00 |    -62.58
model_gen_18_1774546535.zip | 214    |    57.01% |      0.00 |    -63.77
model_gen_1_1774546421.zip | 234    |    56.84% |      0.00 |    -61.49
model_gen_17_1774546525.zip | 238    |    56.30% |      0.00 |    -60.30
model_gen_30_1774546620.zip | 229    |    55.90% |      0.00 |    -62.83
model_gen_9_1774546475.zip | 234    |    55.56% |      0.00 |    -63.39
model_gen_13.zip          | 242    |    55.37% |      0.00 |    -62.37
